Id;Hora de inicio;Hora de finalizaci�n;Correo electr�nico;Nombre;semester;career;interest_field;expectation_clarity;expectation_alignment;career_expectations;perceived_difficulty;study_habits;time_management;academic_stress;capacity_alignment;academic_enjoyment;area_identification;intrinsic_motivation;extrinsic_motivation;social_impact;professional_value
17;02/17/26 19:16:00;02/17/26 19:23:00;anonymous;;7.0;Sistemas;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo
18;02/20/26 09:13:00;02/20/26 09:14:00;anonymous;;3.0;Ingeniería de Sistemas;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo
19;02/18/26 12:37:00;02/18/26 12:39:00;anonymous;;5.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo
20;02/19/26 11:54:00;02/19/26 11:58:00;anonymous;;3.0;Ingeniería de Sistemas;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo
21;02/19/26 15:31:00;02/19/26 15:41:00;anonymous;;5.0;Ingeniería de Sistemas;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo
22;02/20/26 13:00:00;02/20/26 13:03:00;anonymous;;10.0;Ingeniería de Sistemas;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo
23;02/20/26 17:07:00;02/20/26 17:09:00;anonymous;;4.0;Sistemas;En desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;De acuerdo
24;02/17/26 14:06:00;02/17/26 14:14:00;anonymous;;10.0;Ingeniería de Sistemas;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Muy en desacuerdo
25;02/20/26 12:18:00;02/20/26 12:27:00;anonymous;;3.0;Ingeniería de Sistemas;En desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo
26;02/17/26 00:26:00;02/17/26 00:27:00;anonymous;;5.0;Sistemas;Muy en desacuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo
27;02/19/26 16:43:00;02/19/26 16:52:00;anonymous;;1.0;Ingeniería de Sistemas;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo
28;02/19/26 22:26:00;02/19/26 22:32:00;anonymous;;2.0;Sistemas;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo
29;02/18/26 11:44:00;02/18/26 11:47:00;anonymous;;7.0;Ingeniería de Sistemas;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo
30;02/21/26 06:56:00;02/21/26 07:05:00;anonymous;;6.0;Sistemas;Muy de acuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;De acuerdo
31;02/20/26 03:37:00;02/20/26 03:42:00;anonymous;;4.0;Sistemas;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo
32;02/18/26 13:47:00;02/18/26 13:56:00;anonymous;;4.0;Sistemas;De acuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo
33;02/15/26 05:24:00;02/15/26 05:30:00;anonymous;;9.0;Ingeniería de Sistemas;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo
34;02/17/26 10:20:00;02/17/26 10:21:00;anonymous;;1.0;Sistemas;Muy en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo
35;02/21/26 05:54:00;02/21/26 05:55:00;anonymous;;6.0;Sistemas;Muy de acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo
36;02/18/26 22:11:00;02/18/26 22:19:00;anonymous;;3.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo
37;02/16/26 16:49:00;02/16/26 16:55:00;anonymous;;3.0;Sistemas;De acuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo
38;02/16/26 13:19:00;02/16/26 13:23:00;anonymous;;5.0;Sistemas;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;De acuerdo
39;02/20/26 04:41:00;02/20/26 04:49:00;anonymous;;2.0;Ingeniería de Sistemas;En desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo
40;02/20/26 02:53:00;02/20/26 03:02:00;anonymous;;9.0;Ingeniería de Sistemas;De acuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo
41;02/16/26 21:42:00;02/16/26 21:45:00;anonymous;;5.0;Ingeniería de Sistemas;En desacuerdo;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo
42;02/17/26 06:17:00;02/17/26 06:20:00;anonymous;;8.0;Ingeniería de Sistemas;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo
43;02/15/26 09:32:00;02/15/26 09:40:00;anonymous;;10.0;Ingeniería de Sistemas;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo
44;02/17/26 04:22:00;02/17/26 04:25:00;anonymous;;8.0;Ingeniería de Sistemas;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Muy en desacuerdo;Muy de acuerdo
45;02/19/26 21:59:00;02/19/26 22:03:00;anonymous;;5.0;Ingeniería de Sistemas;De acuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;De acuerdo
46;02/16/26 13:00:00;02/16/26 13:02:00;anonymous;;10.0;Sistemas;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo
47;02/20/26 23:45:00;02/20/26 23:46:00;anonymous;;7.0;Sistemas;Muy en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo
48;02/20/26 06:29:00;02/20/26 06:36:00;anonymous;;9.0;Sistemas;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy en desacuerdo
49;02/21/26 08:23:00;02/21/26 08:32:00;anonymous;;4.0;Ingeniería de Sistemas;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo
50;02/16/26 10:11:00;02/16/26 10:20:00;anonymous;;6.0;Sistemas;En desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo
51;02/15/26 04:39:00;02/15/26 04:41:00;anonymous;;8.0;Sistemas;De acuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo
52;02/19/26 13:58:00;02/19/26 14:03:00;anonymous;;3.0;Ingeniería de Sistemas;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo
53;02/21/26 01:32:00;02/21/26 01:41:00;anonymous;;3.0;Ingeniería de Sistemas;Muy en desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo
54;02/21/26 21:56:00;02/21/26 22:01:00;anonymous;;8.0;Ingeniería de Sistemas;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo
55;02/15/26 05:33:00;02/15/26 05:35:00;anonymous;;2.0;Ingeniería de Sistemas;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo
56;02/15/26 09:39:00;02/15/26 09:41:00;anonymous;;5.0;Ingeniería de Sistemas;De acuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo
57;02/21/26 16:44:00;02/21/26 16:51:00;anonymous;;5.0;Ingeniería de Sistemas;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo
58;02/18/26 06:16:00;02/18/26 06:22:00;anonymous;;1.0;Ingeniería de Sistemas;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo
59;02/21/26 20:12:00;02/21/26 20:21:00;anonymous;;8.0;Sistemas;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo
60;02/20/26 16:37:00;02/20/26 16:42:00;anonymous;;1.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo
61;02/18/26 12:50:00;02/18/26 12:58:00;anonymous;;3.0;Sistemas;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo
62;02/18/26 16:46:00;02/18/26 16:55:00;anonymous;;4.0;Sistemas;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy de acuerdo
63;02/15/26 08:09:00;02/15/26 08:18:00;anonymous;;1.0;Ingeniería de Sistemas;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;De acuerdo
64;02/17/26 16:38:00;02/17/26 16:44:00;anonymous;;9.0;Ingeniería de Sistemas;En desacuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo
65;02/20/26 05:52:00;02/20/26 05:58:00;anonymous;;7.0;Ingeniería de Sistemas;Muy de acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo
